link,price,surface,rooms,DPE,GES,location,reference,exterieur,stationnement,image,postal_code,city,Population,Superficie,Densité,Infos_ville,latitude,longitude,price_per_m2,is_complete
https://www.etreproprio.com/immobilier-23430485-vente-le-cannet-4-pieces-etage-eleve-terrasse-cave-parking-renove-le-cannet,598900,89,4.0,C,C,— Le Cannet 06110 —,Référence: 86341297,,,https://storage.etreproprio.com/classified/image/thumb/s/b/r/b4c533d2-2475-480b-83d0-ba6b153e021b_ptw0.jpeg,06110,Le Cannet,40198 hab.,"7,71 km²",5214 hab/km²,Le Cannet est une commune française située dans le département des Alpes-Maritimes en région Provence-Alpes-Côte d'Azur. Ses habitants sont appelés les Cannettans.,43.574427,6.999308,6729.213483146067,True
https://www.etreproprio.com/immobilier-23431343-vente-monument-historique-remarquable-place-des-carmes-toulouse,1102500,173,8.0,C,C,— Toulouse 31000 —,Référence: 86354039,,,https://storage.etreproprio.com/classified/image/thumb/n/f/f/477a0ce8-6bb0-45b0-8e88-300a598934a2_ptw0.jpeg,31000,Toulouse,511684 hab.,"118,3 km²",4325 hab/km²,"Toulouse est une commune du Sud-Ouest de la France, préfecture de la région Occitanie et du département de la Haute-Garonne, ainsi que siège de Toulouse Métropole. Ses habitants sont appelés les Toulousains et Toulousaines.",43.604082,1.433805,6372.832369942196,True
https://www.etreproprio.com/immobilier-22180596-vente-appartement-85m-a-eybens-eybens,300000,85,3.0,B,B,— Eybens 38320 —,Référence: VA5800-BONJOUR2,,,https://storage.etreproprio.com/classified/image/thumb/b/s/i/6abcac7e-465b-48d1-ad43-d8c84133929c_ptw0.jpeg,38320,Eybens,10095 hab.,"4,50 km²",2243 hab/km²,Eybens est une commune française située dans le département de l' Isère en région Auvergne-Rhône-Alpes.,45.153612,5.749583,3529.4117647058824,True
https://www.etreproprio.com/immobilier-23434281-vente-appartement-65m-a-amberieux-en-dombes-amberieux-en-dombes,235000,65,3.0,A,A,— Amberieux-En-Dombes 01330 —,Référence: 1859363,Balcon,Garage,https://storage.etreproprio.com/classified/image/thumb/b/e/n/ed13a5a8-ebd4-41e6-a471-75c8bd2f79a8_ptw0.jpeg,01330,Amberieux En Dombes,,,,ℹ️ Aucune information disponible.,45.996237,4.909042,3615.3846153846152,True
https://www.etreproprio.com/immobilier-23184959-vente-saint-vincent-le-havre,179000,38,2.0,E,B,— Le Havre 76600 —,,Balcon,,https://www.etreproprio.com/photo-immobilier-23184959/vente-appartement-le-havre-cwav-ptw0.jpeg,76600,Le Havre,166462 hab.,"54,75 km²",3040 hab/km²,"Le Havre est une commune du nord-ouest de la France située dans le département de la Seine-Maritime en région Normandie. Elle se trouve sur la rive droite de l' estuaire de la Seine, au bord de la Manche.",49.507345,0.129995,4710.526315789473,False
https://www.etreproprio.com/immobilier-23433001-vente-appartement-t2-quartier-chartrons-bordeaux,223000,42,2.0,C,A,— Bordeaux 33300 —,Référence: 2431,Balcon,,https://storage.etreproprio.com/classified/image/thumb/j/n/o/2b0214aa-1e8b-481b-b391-52eb82e39423_ptw0.jpeg,33300,Bordeaux,265328 hab.,"49,36 km²",5375 hab/km²,"Bordeaux est une commune du Sud-Ouest de la France, préfecture du département de la Gironde et chef-lieu de la région Nouvelle-Aquitaine.",44.851897,-0.587877,5309.523809523809,True
https://www.etreproprio.com/immobilier-23433222-vente-appartement-14m-a-paris-14e-paris-14e,149000,14,1.0,F,F,— Paris-14e 75014 —,Référence: 8181,Balcon,,https://storage.etreproprio.com/classified/image/thumb/x/g/k/67a5fdf4-bb99-4fcf-83e3-f60a0f35f3c3_ptw0.jpeg,75014,Paris 14e,2113705 hab.,"105,40 km²",20054 hab/km²,"Paris, officiellement la Ville de Paris est la capitale de la France ainsi qu'une collectivité à statut particulier. Elle est divisée en vingt arrondissements.",48.830108,2.323026,10642.857142857143,True
https://www.etreproprio.com/immobilier-22992066-vente-appartement-66m-a-clamart-clamart,220000,66,4.0,E,E,— Clamart 92140 —,Référence: 1742713,Balcon,,https://www.etreproprio.com/photo-immobilier-22992066/photo-1-vente-appartement-clamart-isrd-ptw0.jpeg,92140,Clamart,56882 hab.,"8,77 km²",6486 hab/km²,"Clamart est une ville de la banlieue sud-ouest de Paris, située à 9 km à vol d'oiseau du centre de la capitale de la France.",48.796102,2.25475,3333.3333333333335,True
https://www.etreproprio.com/immobilier-23430770-vente-appartement-94m-a-nice-nice,375000,95,5.0,C,A,— Nice 06200 —,,Balcon,,https://storage.etreproprio.com/classified/image/thumb/r/a/a/58f83199-53fa-48d7-9165-75318fc9a0f7_ptw0.jpeg,06200,Nice,353701 hab.,"71,92 km²",4918 hab/km²,"Nice, Niça en occitan nissart, est une commune du Sud-Est de la France, préfecture du département des Alpes-Maritimes et deuxième ville de la région Provence-Alpes-Côte d'Azur derrière Marseille. Située à une trentaine de kilomètres de la frontière franco-italienne, elle est établie sur les bords de la mer Méditerranée, le long de la baie des Anges et à l'embouchure du Paillon.",43.71273,7.25092,3947.3684210526317,False
https://www.etreproprio.com/immobilier-23431265-vente-montfleury-3pieces-avec-terrasse-et-parking-cannes,590000,71,3.0,C,A,— Cannes 06400 —,Référence: 11645,Balcon,,https://storage.etreproprio.com/classified/image/thumb/e/o/g/4fc8c1d7-b680-4273-82b1-bb228eb8b24f_ptw0.jpeg,06400,Cannes,74040 hab.,"19,62 km²",3774 hab/km²,"Cannes ( ou localement ) est une commune française de la communauté d'agglomération Cannes Pays de Lérins située dans le département des Alpes-Maritimes, en région Provence-Alpes-Côte d'Azur, sur la Côte d'Azur dont elle est une ville phare. Ses habitants sont appelés les Cannois.",43.555468,7.004585,8309.859154929578,True
